objective_0,objective_1,genotype_0
-0.96,1434.7,0.34038545332220516
-0.88,769.86,0.6611344236866064
-0.9,815.48,0.6246144051987403
-0.68,625.08,0.9671220859422768
#-0.68,625.08,0.9688555175115472
-0.72,689.84,0.9344015704779534
#-0.88,769.86,0.6593556178004125
-0.94,921.08,0.4189519824375466
#-0.68,625.08,0.9705195780279097
-0.78,715.94,0.8122458614558346
#-0.72,689.84,0.9329939982531238
-0.92,835.84,0.5777720173510577
-0.66,604.86,0.9854345593940625
-0.76,699.06,0.7506072921496342
#-0.78,715.94,0.8133760533211095
-0.8,754.28,0.7552632214401604
#-0.8,754.28,0.7532211999180891
